Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,2
58,2,2
59,2,2
60,2,2
61,2,2
62,3,3
63,3,3
64,3,3
65,3,3
66,3,3
67,3,3
68,3,3
69,3,3
70,3,3
71,3,3
72,3,3
73,3,3
74,3,3
75,3,3
76,3,3
77,3,3
78,3,3
79,3,3
80,3,3
81,3,3
82,3,3
83,3,3
84,3,3
85,3,3
86,3,3
87,3,3
88,3,3
89,3,3
90,3,3
91,3,3
92,4,4
93,4,4
94,4,4
95,4,4
96,4,4
97,4,4
98,4,4
99,4,4
100,4,4
101,4,4
102,4,4
103,4,4
104,4,4
105,4,4
106,4,4
107,4,4
108,4,4
109,4,4
110,4,4
111,4,4
112,4,4
113,4,4
114,4,4
115,4,4
116,4,4
117,4,4
118,4,4
119,4,4
120,4,4
121,4,4
122,4,4
123,5,5
124,5,5
125,5,5
126,5,5
127,5,5
128,5,5
129,5,5
130,5,5
131,5,5
132,5,5
133,5,5
134,5,5
135,5,5
136,5,5
137,5,5
138,5,5
139,5,5
140,5,5
141,5,5
142,5,5
143,5,5
144,5,5
145,5,5
146,5,5
147,5,5
148,5,5
149,5,5
150,5,5
151,5,5
152,5,5
153,5,5
154,6,6
155,6,6
156,6,6
157,6,6
158,6,6
159,6,6
160,6,6
161,6,6
162,6,6
163,6,6
164,6,6
165,6,6
166,6,6
167,6,6
168,6,6
169,6,6
170,6,6
171,6,6
172,6,6
173,6,6
174,6,6
175,6,6
176,6,6
177,6,6
178,6,6
179,6,6
180,6,6
181,6,6
182,6,6
183,6,6
184,7,7
185,7,7
186,7,7
187,7,7
188,7,7
189,7,7
190,7,7
191,7,7
192,7,7
193,7,7
194,7,7
195,7,7
196,7,7
197,7,7
198,7,7
199,7,7
200,7,7
201,7,7
202,7,7
203,7,7
204,7,7
205,7,7
206,7,7
207,7,7
208,7,7
209,7,7
210,7,7
211,7,7
212,7,7
213,7,7
214,7,7
215,8,8
216,8,8
217,8,8
218,8,8
219,8,8
220,8,8
221,8,8
222,8,8
223,8,8
224,8,8
225,8,8
226,8,8
227,8,8
228,8,8
229,8,8
230,8,8
231,8,8
232,8,8
233,8,8
234,8,8
235,8,8
236,8,8
237,8,8
238,8,8
239,8,8
240,8,8
241,8,8
242,8,8
243,8,8
244,8,8
245,9,9
246,9,9
247,9,9
248,9,9
249,9,9
250,9,9
251,9,9
252,9,9
253,9,9
254,9,9
255,9,9
256,9,9
257,9,9
258,9,9
259,9,9
260,9,9
261,9,9
262,9,9
263,9,9
264,9,9
265,9,9
266,9,9
267,9,9
268,9,9
269,9,9
270,9,9
271,9,9
272,9,9
273,9,9
274,9,9
275,9,9
276,10,10
277,10,10
278,10,10
279,10,10
280,10,10
281,10,10
282,10,10
283,10,10
284,10,10
285,10,10
286,10,10
287,10,10
288,10,10
289,10,10
290,10,10
291,10,10
292,10,10
293,10,10
294,10,10
295,10,10
296,10,10
297,10,10
298,10,10
299,10,10
300,10,10
301,10,10
302,10,10
303,10,10
304,10,10
305,10,10
306,10,10
307,11,11
308,11,11
309,11,11
310,11,11
311,11,11
312,11,11
313,11,11
314,11,11
315,11,11
316,11,11
317,11,11
318,11,11
319,11,11
320,11,11
321,11,11
322,11,11
323,11,11
324,11,11
325,11,11
326,11,11
327,11,11
328,11,11
329,11,11
330,11,11
331,11,11
332,11,11
333,11,11
334,11,11
335,12,12
336,12,12
337,12,12
338,12,12
339,12,12
340,12,12
341,12,12
342,12,12
343,12,12
344,12,12
345,12,12
346,12,12
347,12,12
348,12,12
349,12,12
350,12,12
351,12,12
352,12,12
353,12,12
354,12,12
355,12,12
356,12,12
357,12,12
358,12,12
359,12,12
360,12,12
361,12,12
362,12,12
363,12,12
364,12,12
365,12,12
